Iterations,ratio,Anorm
1.0,0.535269,3518300.0
4.0,0.500394,2087880.0
21.0,0.0397382,507598.0
100.0,0.00371196,57983.4
464.0,0.000124507,11433.2
2154.0,5.56618e-05,5561.98
10000.0,3.87846e-06,831.8
46415.0,1.07153e-07,41.0723
215443.0,6.05466e-11,0.0225975
1000000.0,4.08618e-33,2.67933e-07
